Comment,Designator,Footprint,LCSC,Quantity
4.7k,R1,R_0805_2012Metric,,1
Conn_01x10_Pin,J2,PinSocket_1x10_P2.54mm_Vertical,,1
BUS,J1,GCT_MJ3225-88-0_REVA,,1
